4.853100000000000023e+02 0.000000000000000000e+00
4.857500000000000000e+02 0.000000000000000000e+00
4.861899999999999977e+02 0.000000000000000000e+00
4.866299999999999955e+02 0.000000000000000000e+00
4.870699999999999932e+02 0.000000000000000000e+00
4.875199999999999818e+02 0.000000000000000000e+00
4.879599999999999795e+02 0.000000000000000000e+00
4.883999999999999773e+02 0.000000000000000000e+00
4.888399999999999750e+02 0.000000000000000000e+00
4.892799999999999727e+02 0.000000000000000000e+00
4.897200000000000273e+02 0.000000000000000000e+00
4.901600000000000250e+02 0.000000000000000000e+00
4.906000000000000227e+02 0.000000000000000000e+00
4.910500000000000114e+02 0.000000000000000000e+00
4.914900000000000091e+02 0.000000000000000000e+00
4.919300000000000068e+02 0.000000000000000000e+00
4.923700000000000045e+02 0.000000000000000000e+00
4.928100000000000023e+02 0.000000000000000000e+00
4.932500000000000000e+02 0.000000000000000000e+00
4.936899999999999977e+02 0.000000000000000000e+00
4.941299999999999955e+02 0.000000000000000000e+00
4.945799999999999841e+02 0.000000000000000000e+00
4.950199999999999818e+02 0.000000000000000000e+00
4.954599999999999795e+02 0.000000000000000000e+00
4.958999999999999773e+02 0.000000000000000000e+00
4.963399999999999750e+02 0.000000000000000000e+00
4.967799999999999727e+02 0.000000000000000000e+00
4.972200000000000273e+02 0.000000000000000000e+00
4.976600000000000250e+02 0.000000000000000000e+00
4.981100000000000136e+02 0.000000000000000000e+00
4.985500000000000114e+02 0.000000000000000000e+00
4.989900000000000091e+02 0.000000000000000000e+00
4.994300000000000068e+02 0.000000000000000000e+00
4.998700000000000045e+02 0.000000000000000000e+00
4.853100000000000023e+02 1.000000000000000000e+00
4.857500000000000000e+02 1.000000000000000000e+00
4.861899999999999977e+02 1.000000000000000000e+00
4.866299999999999955e+02 1.000000000000000000e+00
4.870699999999999932e+02 1.000000000000000000e+00
4.875199999999999818e+02 1.000000000000000000e+00
4.879599999999999795e+02 1.000000000000000000e+00
4.883999999999999773e+02 1.000000000000000000e+00
4.888399999999999750e+02 1.000000000000000000e+00
4.892799999999999727e+02 1.000000000000000000e+00
4.897200000000000273e+02 1.000000000000000000e+00
4.901600000000000250e+02 1.000000000000000000e+00
4.906000000000000227e+02 1.000000000000000000e+00
4.910500000000000114e+02 1.000000000000000000e+00
4.914900000000000091e+02 1.000000000000000000e+00
4.919300000000000068e+02 1.000000000000000000e+00
4.923700000000000045e+02 1.000000000000000000e+00
4.928100000000000023e+02 1.000000000000000000e+00
4.932500000000000000e+02 1.000000000000000000e+00
4.936899999999999977e+02 1.000000000000000000e+00
4.941299999999999955e+02 1.000000000000000000e+00
4.945799999999999841e+02 1.000000000000000000e+00
4.950199999999999818e+02 1.000000000000000000e+00
4.954599999999999795e+02 1.000000000000000000e+00
4.958999999999999773e+02 1.000000000000000000e+00
4.963399999999999750e+02 1.000000000000000000e+00
4.967799999999999727e+02 1.000000000000000000e+00
4.972200000000000273e+02 1.000000000000000000e+00
4.976600000000000250e+02 1.000000000000000000e+00
4.981100000000000136e+02 1.000000000000000000e+00
4.985500000000000114e+02 1.000000000000000000e+00
4.989900000000000091e+02 1.000000000000000000e+00
4.994300000000000068e+02 1.000000000000000000e+00
